araTha,Reference (Garlic),103346,104225,LTR,Gypsy,Athila3_LTR,LTR,yes,1.0
araTha,Reference (Garlic),104228,104561,LTR,Gypsy,Athila4D_LTR,LTR,yes,1.0
araTha,Reference (Garlic),104603,105176,LTR,Gypsy,Athila3_LTR,LTR,yes,1.0
araTha,Reference (Garlic),105181,106523,LTR,Gypsy,Athila3_LTR,LTR,yes,1.0
araTha,Reference (Garlic),118380,118573,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),119110,119268,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),119349,119555,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),119605,119710,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),301007,301118,DNA,TcMar-Pogo,Mariner-N1B_ALy,DNA,yes,1.0
araTha,Reference (Garlic),301226,301290,DNA,TcMar-Pogo,Mariner-N1B_ALy,DNA,yes,1.0
araTha,Reference (Garlic),301639,301915,DNA,TcMar-Pogo,Mariner-N1B_ALy,DNA,yes,1.0
araTha,Reference (Garlic),305806,305871,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),305972,306178,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),331470,331563,DNA,Helitron,ATREPX1,RC,yes,1.0
araTha,Reference (Garlic),331893,332084,DNA,Helitron,ATREPX1,RC,yes,1.0
araTha,Reference (Garlic),392784,392923,LTR,Gypsy,ATGP10_I,LTR,yes,1.0
araTha,Reference (Garlic),393602,393741,LTR,Gypsy,ATGP10_I,LTR,yes,1.0
araTha,Reference (Garlic),394962,395655,LTR,Gypsy,ATGP10LTR,LTR,yes,1.0
araTha,Reference (Garlic),395867,396006,LTR,Gypsy,ATGP10_I,LTR,yes,1.0
araTha,Reference (Garlic),437143,437228,LTR,Gypsy,Athila4A_I,LTR,yes,1.0
araTha,Reference (Garlic),437229,437463,LTR,Gypsy,Athila4A_I,LTR,yes,1.0
araTha,Reference (Garlic),437464,437698,LTR,Gypsy,Athila4A_I,LTR,yes,1.0
araTha,Reference (Garlic),463287,463414,LTR,Cassandra,Cassandra_AT-LTR,LTR,yes,1.0
araTha,Reference (Garlic),464094,464166,LTR,Cassandra,Cassandra_AT-LTR,LTR,yes,1.0
araTha,Reference (Garlic),464244,464589,LTR,Cassandra,Cassandra_AT-LTR,LTR,yes,1.0
araTha,Reference (Garlic),471122,472289,LTR,Gypsy,ATGP1-LTR,LTR,yes,1.0
araTha,Reference (Garlic),472308,473470,LTR,Gypsy,ATGP1-LTR,LTR,yes,1.0
araTha,Reference (Garlic),473481,474648,LTR,Gypsy,ATGP1-LTR,LTR,yes,1.0
araTha,Reference (Garlic),474674,475841,LTR,Gypsy,ATGP1-LTR,LTR,yes,1.0
araTha,Reference (Garlic),677228,677461,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),677657,677873,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),677983,678215,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),678359,678561,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),678973,679189,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),679205,679421,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),820015,820830,LTR,Gypsy,Athila2_LTR,LTR,yes,1.0
araTha,Reference (Garlic),820964,821779,LTR,Gypsy,Athila2_LTR,LTR,yes,1.0
araTha,Reference (Garlic),864895,865101,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),865118,865367,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),865371,865591,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),865650,865813,DNA,NA,ATREP18,DNA,yes,1.0
araTha,Reference (Garlic),922989,923020,DNA,MULE-MuDR,ArnoldY1,DNA,yes,1.0
araTha,Reference (Garlic),923925,924058,DNA,MULE-MuDR,ArnoldY1,DNA,yes,1.0
araTha,Reference (Garlic),924349,924380,DNA,MULE-MuDR,ArnoldY1,DNA,yes,1.0
araTha,Reference (Garlic),926824,927029,DNA,MULE-MuDR,ArnoldY2,DNA,yes,1.0
araTha,Reference (Garlic),927068,927273,DNA,MULE-MuDR,ArnoldY2,DNA,yes,1.0
araTha,Reference (Garlic),927305,927492,DNA,MULE-MuDR,ArnoldY2,DNA,yes,1.0
araTha,Reference (Garlic),927519,927712,DNA,MULE-MuDR,ArnoldY2,DNA,yes,1.0
araTha,Reference (Garlic),933251,933858,DNA,Helitron,ATREP2A,RC,yes,1.0
araTha,Reference (Garlic),933966,935117,DNA,Helitron,ATREP20,RC,yes,1.0
araTha,Reference (Garlic),1020405,1020594,DNA,TcMar-Pogo,ATHPOGON3,DNA,yes,1.0
araTha,Reference (Garlic),1021266,1022296,LTR,Gypsy,Athila4D_LTR,LTR,yes,1.0
araTha,Reference (Garlic),1023038,1023227,DNA,TcMar-Pogo,ATHPOGON3,DNA,yes,1.0
